ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
43017,variable,538632171737,Sterling Silver Slider Bracelet Bee Citrine Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Bracelet > Chain Bracelet,,,"https://zecodo.com/wp-content/uploads/2022/12/3461299872_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/3459548269_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/3461296885_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/12654283958_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/11358962505_1210089348.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
43092,variation,538632171737-1,Sterling Silver Slider Bracelet Bee Citrine Inlaid - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,94,,,,https://zecodo.com/wp-content/uploads/2022/12/11358962505_1210089348.jpg,,,538632171737,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
43043,variable,573433380444,Sterling Silver Slider Bracelet Ring Zirconia Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Bracelet > Cuff Bracelet,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01D6EHZQ1ouZwcWNwbN_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01EeotIm1ouZwRg4ZIA_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/9095214441_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01IMe13p1ouZwWFDkrU_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/9581602898_480399264.jpg",,,,,,,,,0,Color,Silver,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
43127,variation,573433380444-1,Sterling Silver Slider Bracelet Ring Zirconia Inlaid - Silver,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,84,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01EeotIm1ouZwRg4ZIA_3967795285-0-cib.jpg,,,573433380444,,,,,,1,Color,Silver,,0,,,,,,,,,,,,,,,,,,,,
42841,variable,596515157586,Copper Chain Bracelet Devil’s Eye,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Bracelet > Chain Bracelet,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN011o52mA1ouZwWMksqF_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01kHhd8M1ouZwY0fiU2_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01Ls6iES1ouZwTkxaQW_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01epfcnv1ouZwV8OUy5_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/11251102840_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Copper,1,0,Technology,"Electroplate, Epoxy Resin",1,0,,,,,,,,
42898,variation,596515157586-1,Copper Chain Bracelet Devil’s Eye - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN011o52mA1ouZwWMksqF_3967795285-0-cib.jpg,,,596515157586,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
42844,variable,650202095333,Sterling Silver Chain Bracelet Band Engraved,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Bracelet > Chain Bracelet,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01TUXk5O1ouZtOmY3jt_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01JGJbFa1ouZwaQ3ACg_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01HpDAVw1ouZwYD0E7y_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01k77FV71ouZwWoxipP_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01Hj2x0l1ouZtTs6zOT_3967795285-0-cib.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
42921,variation,650202095333-1,Sterling Silver Chain Bracelet Band Engraved- Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,47,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01TUXk5O1ouZtOmY3jt_3967795285-0-cib.jpg,,,650202095333,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
